label,none,SERRF
1_ISTD Ceramide (d18:1/17:0) [M+HCOO]- ,0.313555447415995,0.0382816514894732
1_ISTD CUDA [M-H]- ,0.156683246313731,0.0279322730892865
1_ISTD FA (16:0)-d3 [M-H]- ,0.120443324035961,0.0559996161787758
1_ISTD LPC (17:0) [M+HCOO]- ,0.237554067777235,0.0312667001354392
1_ISTD LPE (17:1) [M-H]-,0.151555903715686,0.0336775889036194
1_ISTD PC (12:0/13:0) [M+HCOO]-,0.203297069401391,0.0552129316890392
1_ISTD PE (17:0/17:0) [M-H]-,0.176855499641773,0.0416874552965868
1_ISTD PG (17:0/17:0) [M-H]-,0.234013933848651,0.0335964521019729
1_ISTD SM (d18:1/17:0) [M+HCOO]-,0.313918815152876,0.0305198657595606
Cer (d32:1) [M+HCOO]-,0.265645369033888,0.141567758035048
Cer (d34:0) [M+HCOO]-,0.279455688450059,0.119182339392971
Cer (d34:1) [M+HCOO]- ,0.259644460783311,0.0605197010462529
Cer (d34:2) [M+HCOO]-,0.237619895592205,0.0954198018517589
Cer (d36:1) [M+HCOO]-,0.290437277344504,0.0563938675322416
Cer (d38:1) [M+HCOO]-,0.221412470809001,0.0685512461368021
Cer (d39:1) [M+HCOO]-,0.218843423450574,0.106257344162839
Cer (d40:1) [M+HCOO]-,0.211377513088033,0.0434757659804497
Cer (d40:2) [M+HCOO]-,0.202470959547067,0.0715782828439083
Cer (d41:1) [M+HCOO]-,0.227859709959328,0.0396806077930355
Cer (d42:1) [M+HCOO]-,0.258197476304808,0.0304334706167381
Cer (d42:2) A [M+HCOO]- ,0.206282060792971,0.0611243254030288
Cer (d42:2) B [M+HCOO]-,0.203109787580271,0.0492314378422677
Cer (d43:1) [M+HCOO]-,0.141747496504761,0.0638224293547808
Cer (d44:1) [M+HCOO]-,0.268072086406027,0.0850302994276488
FA (16:0) [M-H]-,0.266047464718322,0.103776707360754
FA (16:1) [M-H]-,0.762733232871831,0.323346917435163
FA (18:0) [M-H]-,0.174400784093051,0.0911564132782835
FA (18:1) [M-H]-,0.183169696898146,0.0951397655399007
FA (18:2) [M-H]-,0.220187289504061,0.103297753180084
FA (20:4) [M-H]-,0.148014012651401,0.112001436702014
FA (22:4) [M-H]-,0.40747862991816,0.121696618091816
GlcCer (d34:1) [M+HCOO]-,0.287291763891425,0.0457304567418755
GlcCer (d38:1) [M+HCOO]-,0.237779639695808,0.0850018563152186
GlcCer (d40:1) [M+HCOO]- ,0.308301746855228,0.0371855646614698
GlcCer (d41:1) [M+HCOO]-,0.303887326926976,0.0537012527712302
GlcCer (d42:1) [M+HCOO]- ,0.321830323075414,0.0477366039860603
GlcCer (d42:2) [M+HCOO]-,0.296791888043033,0.0687223071320134
LPC (14:0) [M+HCOO]-,0.361256503877103,0.0978072986562147
LPC (16:0) [M+HCOO]-,0.303155852089484,0.0353072746599171
LPC (16:1) [M+HCOO]-,0.267171279779792,0.0726867053637883
LPC (18:0) [M+HCOO]-,0.279188536242839,0.030743343994183
LPC (18:1) [M+HCOO]- ,0.271527836282144,0.0353811677296902
LPC (18:2) [M+HCOO]-,0.296165350286539,0.033405163500577
LPC (20:1) [M+HCOO]-,0.304423380069976,0.127731664826096
LPC (20:2) [M+HCOO]-,0.249582947630591,0.0900880770585796
LPC (20:3) [M+HCOO]-,0.268496409193507,0.0705689231111464
LPC (22:5) [M+HCOO]-,0.299522166033827,0.120960636948955
LPE (16:0) [M-H]-,0.237406450956373,0.0605163154891771
LPE (18:2) [M-H]- ,0.239345624802447,0.059320259382691
LPE (20:4) [M-H]-,0.234082118751744,0.0466252068745302
LPE (22:6) [M-H]- ,0.259516334035187,0.0896287596591218
PC (30:0) [M+HCOO]-,0.299588366401749,0.0640217525949342
PC (32:0) [M+HCOO]-,0.241733384616024,0.0358439804754362
PC (32:1) [M+HCOO]-,0.253671163287205,0.0513425509795438
PC (32:2) [M+HCOO]- ,0.2363537821691,0.0538978335155527
PC (33:1) [M+HCOO]- ,0.248501438561984,0.0526208858688802
PC (33:2) [M+HCOO]-,0.236265267373395,0.0632453346244669
PC (34:0) [M+HCOO]-,0.240229373811759,0.0586519522522387
PC (34:1) [M+HCOO]- ,0.269520503736765,0.0206291836380259
PC (34:2) [M+HCOO]- ,0.263343288050725,0.0292088245215804
PC (34:4) [M+HCOO]-,0.224088797344757,0.0657288766633075
PC (35:2) [M+HCOO]- ,0.242466903514054,0.0419506643267885
PC (36:1) [M+HCOO]- ,0.248891702148446,0.0358677892264518
PC (36:2) [M+HCOO]- ,0.265447107543351,0.0265902858574072
PC (36:3) [M+HCOO]-,0.257906760450667,0.0292957188528146
PC (36:4) A [M+HCOO]- ,0.241014630551676,0.0373416510587393
PC (36:4) B [M+HCOO]- ,0.264344257217203,0.0258305970966508
PC (36:5) [M+HCOO]- ,0.23310357429741,0.0470946759348189
PC (37:4) [M+HCOO]-,0.241028899740597,0.0586562949373501
PC (38:2) [M+HCOO]-,0.242170701551431,0.0578663062173251
PC (38:3) [M+HCOO]- ,0.234130707147009,0.0431776498575747
PC (38:4) [M+HCOO]- ,0.275118161779029,0.0238066096296011
PC (38:5) [M+HCOO]- ,0.241254499436193,0.0427940726087461
PC (38:6) [M+HCOO]- ,0.247584074255271,0.0271170387952331
PC (40:4) [M+HCOO]- ,0.230297329274327,0.0465833769332993
PC (40:5) [M+HCOO]- ,0.24687648505773,0.045852357280845
PC (40:6) [M+HCOO]- ,0.231409306947073,0.0322631800359706
PC (40:8) [M+HCOO]-,0.234443796458285,0.0815101549480546
PC (42:4) [M+HCOO]-,0.335558164597123,0.137972970704025
PE (34:1) [M-H]-,0.206593658163802,0.0813489346550522
PE (34:2) [M-H]-,0.176604703647147,0.0674137018260763
PE (36:1) [M-H]-,0.286998807902589,0.0342099553396003
PE (36:2) A [M-H]-,0.266447519839769,0.0260264992036059
PE (36:2) B [M-H]-,0.208024556030277,0.0414876524949289
PE (36:3) [M-H]-,0.217652975395224,0.0619449251606971
PE (36:4) [M-H]-,0.207914842718835,0.0632900415769167
PE (38:2) [M-H]-,0.232241030433439,0.0470534426462967
PE (38:4) A [M-H]-,0.261640922239481,0.0397546365952241
PE (38:4) B [M-H]-,0.128902885879332,0.0354119674456824
PE (38:6) [M-H]-,0.200557282957246,0.0544998561951925
PE (40:6) [M-H]-,0.280204431602038,0.0975514799310281
PE (44:3) [M-H]-,0.268722306935131,0.116998796779637
PI (32:1) [M-H]-,0.271172054508843,0.126597988116978
PI (34:1) [M-H]- ,0.254977734109534,0.0553393222731212
PI (34:2) [M-H]- ,0.202148551671697,0.0414608878896237
PI (36:1) [M-H]- ,0.214865550586123,0.0462952781229637
PI (36:2) [M-H]- ,0.237333401027526,0.0401811658518478
PI (36:3) [M-H]- ,0.230808889436662,0.0771077960443228
PI (36:4) [M-H]-,0.204942184435318,0.0521634379913307
PI (38:3) [M-H]-,0.220791663137779,0.0428179870916437
PI (38:4) [M-H]- ,0.260497167377648,0.0256358647174904
PI (38:5) [M-H]-,0.248959377820628,0.0704329166150378
PI (40:6) [M-H]-,0.241577019023693,0.083068244923279
plasmenyl-PC (32:0) [M+HCOO]-,0.241761183690979,0.0532599257032102
plasmenyl-PC (34:0) [M+HCOO]- ,0.249399913423478,0.048985434143532
plasmenyl-PC (34:1) [M+HCOO]- ,0.249701391535517,0.0395803542388745
plasmenyl-PC (34:2) [M+HCOO]- ,0.239706012896363,0.0433845367936931
plasmenyl-PC (36:0) [M+HCOO]-,0.482831232346611,0.0692928578445651
plasmenyl-PC (36:1) [M+HCOO]-,0.242929579465845,0.0538842389635968
plasmenyl-PC (36:2) [M+HCOO]-,0.260207385262331,0.0929190317075623
plasmenyl-PC (36:3) [M+HCOO]-,0.248893012339977,0.0538847063852835
plasmenyl-PC (36:4) [M+HCOO]- ,0.238531061170503,0.0272802945185023
plasmenyl-PC (38:0) [M+HCOO]-,0.497812874599504,0.0539482364287782
plasmenyl-PC (38:4) [M+HCOO]- ,0.233765317833901,0.0458080658908829
plasmenyl-PC (38:5) [M+HCOO]-,0.239989446645287,0.0947809440872427
plasmenyl-PC (40:1) [M+HCOO]-,0.773456132772226,0.181574092731691
plasmenyl-PC (40:4) [M+HCOO]-,0.253163995976495,0.100307866689225
plasmenyl-PC (42:4) [M+HCOO]-,0.255558332027397,0.0902888430796597
plasmenyl-PE (34:1) [M-H]-,0.220370851394662,0.075351645263595
plasmenyl-PE (34:2) [M-H]- ,0.202090691636623,0.0422504015428144
plasmenyl-PE (36:1) [M-H]-,0.212348547840623,0.0816514450470978
plasmenyl-PE (36:2) [M-H]- ,0.188622938935494,0.0425468768732559
plasmenyl-PE (36:4) [M-H]- ,0.163889548308057,0.0311698409245994
plasmenyl-PE (36:5) [M-H]- ,0.233370875945032,0.123807268948252
plasmenyl-PE (38:2) [M-H]-,0.317009770317816,0.196693362353765
plasmenyl-PE (38:3) [M-H]-,0.296645554110867,0.175702435426433
plasmenyl-PE (38:4) [M-H]- ,0.183729715192709,0.0311294285488173
plasmenyl-PE (38:5) [M-H]- ,0.189204101162657,0.0530615509649495
plasmenyl-PE (38:6) [M-H]- ,0.144217294250786,0.0396032137808516
plasmenyl-PE (40:4) [M-H]-,0.234084737032548,0.0909971966787153
plasmenyl-PE (40:5) [M-H]-,0.223103006651753,0.125107136518231
plasmenyl-PE (40:6) [M-H]- ,0.20985982969711,0.0493350515672343
plasmenyl-PE (40:7) [M-H]-,0.19906501439059,0.0633969586728946
CSH_negESI #513,0.313338630054639,0.0336621252689801
CSH_negESI #514,0.295005636451247,0.0328132222998204
CSH_negESI #515,0.319953800828913,0.0365552475287509
SM (d32:0) [M+HCOO]-,0.309757494952194,0.167851772130157
SM (d32:1) [M+HCOO]-,0.218527510416077,0.035352661039771
SM (d32:2) [M+HCOO]-,0.234953517211654,0.0892462117712905
SM (d33:1) [M+HCOO]-,0.225949123090105,0.0415647460691027
SM (d34:0) [M+HCOO]-,0.255678588238409,0.056496943669486
SM (d34:1) [M+HCOO]-,0.267694650360953,0.029546758567801
SM (d34:2) [M+HCOO]-,0.239131962298078,0.0278351800174833
SM (d36:0) [M+HCOO]-,0.39315008210187,0.0635391237360399
SM (d36:1) [M+HCOO]- ,0.250069258882418,0.0335497704107751
SM (d36:2) [M+HCOO]- ,0.293129443409343,0.0417548726419193
SM (d38:1) [M+HCOO]-,0.237600759123626,0.0409850192649903
SM (d38:2) [M+HCOO]- ,0.241888779776126,0.0423956159024532
SM (d40:0) [M+HCOO]-,0.332793652060311,0.212208895703555
SM (d40:1) [M+HCOO]-,0.239675212895806,0.0296590852856163
SM (d40:2) [M-HCOO]- ,0.245809965272233,0.0281605867620047
SM (d40:3) [M+HCOO]-,0.382280299169301,0.163315173586999
SM (d41:1) [M+HCOO]-,0.233557481693131,0.0283484582803878
SM (d41:2) [M+HCOO]-,0.24041218141057,0.0562505517227942
SM (d42:1) [M+HCOO]-,0.234178735103168,0.0328590884510183
SM (d42:2) A [M+HCOO]-,0.250113421556506,0.0274110729401356
SM (d42:2) B [M+HCOO]-,0.251111584951657,0.0329212303511395
SM (d42:3) [M+HCOO]-,0.248715884559723,0.0294852906600855
SM (d43:2) [M+HCOO]-,0.328291672389161,0.0980684532111763
CSH_negESI #014,0.386154976962533,0.0580565499251518
CSH_negESI #017,0.3958317083303,0.0480369106833736
CSH_negESI #021,0.364571214771113,0.0612108803097441
CSH_negESI #024,0.90081486455944,0.0438573510961164
CSH_negESI #046,0.351348289009659,0.041666280601462
CSH_negESI #056,0.370373555530692,0.0555622186600989
CSH_negESI #071,0.183809492757041,0.0596753662883908
CSH_negESI #074,0.241758935521183,0.0847219225849462
CSH_negESI #078,0.486211642809905,0.0263288598977349
CSH_negESI #079,0.764339553908435,0.0362480726022974
CSH_negESI #091,0.231550783042971,0.0433469249952375
CSH_negESI #108,0.575742084552573,0.052448358232486
CSH_negESI #109,0.256338157079696,0.0538024334508092
CSH_negESI #113,0.333475913661102,0.0379248897575104
CSH_negESI #120,0.279931182764017,0.0678387029093329
CSH_negESI #120 ,0.3207362492946,0.041971691243821
CSH_negESI #123,0.254030434509001,0.0865347516638209
CSH_negESI #124,0.401258436851704,0.0430059552186144
CSH_negESI #130,0.226230968120213,0.0567137233397351
CSH_negESI #131,0.390511025112496,0.368154149486343
CSH_negESI #132,0.503407309231853,0.202858998982217
CSH_negESI #133,0.179263158388861,0.0454983670347022
CSH_negESI #134,0.455181078935837,0.0468973787571814
CSH_negESI #135,0.220856145031569,0.0597763034322043
CSH_negESI #136,0.145304810776474,0.0676669148818499
CSH_negESI #137,0.21329033379858,0.0936041252599976
CSH_negESI #138,0.269877334326796,0.0935153671725302
CSH_negESI #139,0.399625721166399,0.0747645582262659
CSH_negESI #140,0.256979789228977,0.051862510199805
CSH_negESI #144,0.508196643494866,0.0257562464996869
CSH_negESI #146,0.410855598895303,0.0719727301378421
CSH_negESI #191,0.896971014427806,0.203825653982493
CSH_negESI #192,0.291970777124728,0.104989401102285
CSH_negESI #199,0.282437243798692,0.0640498790836965
CSH_negESI #200,0.628441264873794,0.0532389341849969
CSH_negESI #202,0.316452127825785,0.0784679444319853
CSH_negESI #203,0.280181894581477,0.0861086681072079
CSH_negESI #206,0.386695919145843,0.0456919278806511
CSH_negESI #206.1,0.414781331321033,0.0525999056044595
CSH_negESI #220,0.272780610115876,0.0479051461487054
CSH_negESI #221,0.349572192576395,0.0821523013153941
CSH_negESI #223,0.496646639532046,0.157820432558482
CSH_negESI #223.1,0.637191436990867,0.195429322215708
CSH_negESI #238,0.429860474385366,0.0351481598412525
CSH_negESI #251,0.41554624026331,0.086703936019695
CSH_negESI #251.1,0.432437423702127,0.0769566317807227
CSH_negESI #252,0.863354708872275,0.132484345224212
CSH_negESI #253,0.83556352394877,0.144934354970265
CSH_negESI #257,0.391238141960331,0.056846903859839
CSH_negESI #259,0.369947211537743,0.0777210878987414
CSH_negESI #261,0.232625815774461,0.0922031073515549
CSH_negESI #264,0.574139245235204,0.0971697964257786
CSH_negESI #264.1,0.587372786017696,0.11656275527162
CSH_negESI #275,0.223259176156281,0.112385399935158
CSH_negESI #275.1,0.295421248976687,0.145125075529447
CSH_negESI #278,0.205262182722308,0.0790486103723112
CSH_negESI #290,0.916420697249383,0.144553697466425
CSH_negESI #293,0.446279049668434,0.0818816683074328
CSH_negESI #293.1,0.560677438800634,0.0590611366596336
CSH_negESI #298,0.200905693208555,0.0913258224555171
CSH_negESI #298.1,0.252557569796295,0.0993296972708927
CSH_negESI #308,0.55234997788045,0.0233753441496018
CSH_negESI #309,0.792849314029551,0.0333369526787648
CSH_negESI #310,0.934332877307023,0.0344964047496693
CSH_negESI #340,0.308868364899976,0.0661493255407248
CSH_negESI #344,0.279172271020617,0.0677684205715821
CSH_negESI #345,0.274638202103707,0.084613331177388
CSH_negESI #347,0.28266788902506,0.0731391338496736
CSH_negESI #365,0.276642774870067,0.0918135809346448
CSH_negESI #366,0.290466523126478,0.0881638994244069
CSH_negESI #374,0.68684803982546,0.061987388864465
CSH_negESI #375,0.349906523689969,0.0465493068241481
CSH_negESI #376,0.627856929424835,0.0595154376572199
CSH_negESI #377,0.474814211753329,0.133201223050417
CSH_negESI #378,0.369901851292883,0.0601101582552847
CSH_negESI #379,0.280736766256105,0.0915191147298752
CSH_negESI #380,0.258612629731073,0.0859147760150053
CSH_negESI #381,0.403847731870514,0.208277556827234
CSH_negESI #382,0.194638508976314,0.0776444911390107
CSH_negESI #384,0.226484020551246,0.0468255905098562
CSH_negESI #385,0.238760822038558,0.0774125849989239
CSH_negESI #386,0.333161411893759,0.0324436013076536
CSH_negESI #386.1,0.290443931381903,0.144065377650395
CSH_negESI #387,0.301242178404247,0.0656932259485076
CSH_negESI #388,0.465252238824832,0.0395295090705506
CSH_negESI #389,0.391100251505666,0.15437583916119
CSH_negESI #390,0.271843459000756,0.0789653394451918
CSH_negESI #391,0.949284166182087,0.0515974194158398
CSH_negESI #392,0.556099343266387,0.235925887467183
CSH_negESI #393,0.637417236217569,0.0849484850124614
CSH_negESI #394,0.275237719525737,0.101392524816613
CSH_negESI #395,0.565056247644962,0.0470914643343133
CSH_negESI #396,0.248593891529327,0.0632480791545446
CSH_negESI #397,0.227789580717699,0.0827319410248933
CSH_negESI #400,0.266493215689865,0.0999789628250038
CSH_negESI #401,0.798976758511859,0.0493043584602609
CSH_negESI #500,0.226963168776534,0.0656318132613392
CSH_negESI #501,0.286445247944277,0.0258144219724452
CSH_negESI #502,0.270409748327045,0.037612807317669
CSH_negESI #503,0.364605863279026,0.0376785458987211
CSH_negESI #504,0.412234091604291,0.0828231675803673
CSH_negESI #505,0.413051730308732,0.0394872589397004
CSH_negESI #506,0.331643762434593,0.0403337447944743
CSH_negESI #507,0.38403719239047,0.0429115369899955
CSH_negESI #508,0.365154531201027,0.0797406832085689
CSH_negESI #509,0.294890849470445,0.0652967747740252
CSH_negESI #510,0.3572059740174,0.0591043157284641
CSH_negESI #511,0.294688614742011,0.0310378098536646
CSH_negESI #512,0.511633151853262,0.0330921772731168
